46725,人形と狼,にんぎょうとおおかみ,NDC K913,新字新仮名,96,夢野,久作,ゆめの,きゅうさく,https://www.aozora.gr.jp/cards/000096/files/46725_ruby_27653.zip,https://www.aozora.gr.jp/cards/000096/files/46725_27699.html,710
54235,世相の一面,せそうのいちめん,NDC K913,新字新仮名,1585,槙村,浩,まきむら,こう,https://www.aozora.gr.jp/cards/001585/files/54235_txt_54470.zip,https://www.aozora.gr.jp/cards/001585/files/54235_54421.html,721
46702,働く町,はたらくまち,NDC K913,新字新仮名,96,夢野,久作,ゆめの,きゅうさく,https://www.aozora.gr.jp/cards/000096/files/46702_ruby_27642.zip,https://www.aozora.gr.jp/cards/000096/files/46702_27688.html,721
45535,天井からぶらさがる足,てんじょうからぶらさがるあし,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45535_ruby_41026.zip,https://www.aozora.gr.jp/cards/000154/files/45535_41079.html,722
47834,妻の名,つまのな,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47834_txt_35792.zip,https://www.aozora.gr.jp/cards/000040/files/47834_36043.html,731
45552,女の出る蚊帳,おんなのでるかや,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45552_ruby_41006.zip,https://www.aozora.gr.jp/cards/000154/files/45552_41059.html,746
45536,隧道内の怪火,とんねるないのかいか,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45536_ruby_41029.zip,https://www.aozora.gr.jp/cards/000154/files/45536_41082.html,748
42274,葬式の行列,そうしきのぎょうれつ,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/42274_ruby_16401.zip,https://www.aozora.gr.jp/cards/000154/files/42274_16442.html,782
45558,遁げて往く人魂,にげていくひとだま,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45558_ruby_41031.zip,https://www.aozora.gr.jp/cards/000154/files/45558_41084.html,797
45538,魔の電柱,まのでんちゅう,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45538_ruby_41041.zip,https://www.aozora.gr.jp/cards/000154/files/45538_41094.html,805
