作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
000088,黄粱夢,こうりょうむ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/88_ruby_160.zip,https://www.aozora.gr.jp/cards/000879/files/88_15189.html
000085,黒衣聖母,こくいせいぼ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/85_ruby_991.zip,https://www.aozora.gr.jp/cards/000879/files/85_15190.html
000082,古千屋,こちや,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/82_ruby_1451.zip,https://www.aozora.gr.jp/cards/000879/files/82_15191.html
000087,湖南の扇,こなんのおうぎ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/87_ruby_639.zip,https://www.aozora.gr.jp/cards/000879/files/87_15106.html
000136,西郷隆盛,さいごうたかもり,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/136_ruby_979.zip,https://www.aozora.gr.jp/cards/000879/files/136_15193.html
000137,寒さ,さむさ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/137_ruby_1103.zip,https://www.aozora.gr.jp/cards/000879/files/137_15195.html
000138,三右衛門の罪,さんえもんのつみ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/138_ruby_1180.zip,https://www.aozora.gr.jp/cards/000879/files/138_15156.html
000059,邪宗門,じゃしゅうもん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/59_ruby_849.zip,https://www.aozora.gr.jp/cards/000879/files/59_14480.html
000062,十円札,じゅうえんさつ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/62_ruby_1087.zip,https://www.aozora.gr.jp/cards/000879/files/62_15198.html
000162,秋山図,しゅうざんず,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/162_ruby_1966.zip,https://www.aozora.gr.jp/cards/000879/files/162_15131.html
000063,じゅりあの・吉助,じゅりあの・きちすけ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/63_ruby_987.zip,https://www.aozora.gr.jp/cards/000879/files/63_15200.html
000159,俊寛,しゅんかん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/159_ruby_960.zip,https://www.aozora.gr.jp/cards/000879/files/159_15201.html
000156,将軍,しょうぐん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/156_ruby_1221.zip,https://www.aozora.gr.jp/cards/000879/files/156_15202.html
000155,少年,しょうねん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/155_ruby_1146.zip,https://www.aozora.gr.jp/cards/000879/files/155_15203.html
000149,白,しろ,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/149_ruby_1581.zip,https://www.aozora.gr.jp/cards/000879/files/149_15204.html
000147,蜃気楼,しんきろう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/147_ruby_1325.zip,https://www.aozora.gr.jp/cards/000879/files/147_15135.html
000153,素戔嗚尊,すさのおのみこと,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/153_ruby_2349.zip,https://www.aozora.gr.jp/cards/000879/files/153_15205.html
