書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20300064	幸せを呼ぶ赤ちゃんの名前事典			菅原緑夏|著	法研	2002	4879544302	19cm	550	1 哲学	148	2077		00107082
BK_20300083	ビジネスに生かすゴルフ戦術論	偉大なチャンピオンたちに学ぶ		アンドリュー・ウッド，ブライアン・トレーシー|著;上野元美|訳	主婦の友社	2002	4072306452	20cm	381	1 哲学	159	0033		00889161;00476287;00762589
BK_20300103	星をまく人			竹田弘|作;高橋貞二|画	ハート出版	2002	4892952702	22cm	63	分類なし		8093		00889207;00211769
BK_20300243	Last kiss			佐藤ケイ|著	メディアワークス;角川書店(発売)	2002	484022160X	15cm	345	9 文学	913	0193		00831191
BK_20300278	ママといっしょにワクワククッキング			大久保洋子|監修;寺嶋則子|料理	人類文化社;桜桃書房(発売)	2001	4756719074	19cm	111	分類なし		0077		00672544;00889186
BK_20300280	雨のじょうろとあなぐまモンタン			茂市久美子|作;中村悦子|絵	学習研究社	2002	4052015150	23cm	47	分類なし		8393		00116978;00163185
BK_20300344	オーパーツ・ラブSP	あ・ら・か・る・と		ゆうきりん|著	集英社	2002	4086300885	15cm	221	9 文学	913	0193		00258780
BK_20300525	異次元の怪奇レポート			日本児童文学者協会|編;野々村薫，高村冴夜子|画	偕成社	2002	4035385808	22cm	187	分類なし		8393		00890115;00649076;00258415
BK_20300793	伝説復活あしたのジョー人生を完全燃焼させる！			高森朝雄|原作;ちばてつや|漫画	講談社	2001	4063344584	19cm	211	7 芸術・美術	726	9979		00120163;00083986
BK_20300799	あなたは絶対！運がいい			浅見帆帆子|著	グラフ社	2001	4766206428	19cm	191	1 哲学	159	0095		00834568
